scenario,method,RMSE_overall_mean,RMSE_overall_std,RMSE_overall_median,RMSE_global_mean,RMSE_global_std,RMSE_global_median,RMSE_local_mean,RMSE_local_std,RMSE_local_median,Prec_global_mean,Prec_global_std,Prec_global_median,Rec_global_mean,Rec_global_std,Rec_global_median,F1_global_mean,F1_global_std,F1_global_median
A,GLASS-E,0.012388495456826906,0.0019447006584706766,0.012929472000611406,0.004946050608562637,0.0014169719919232325,0.005058510064097299,0.027301735090094027,0.001347081427315467,0.02723575131350385,0.16236402486402488,0.02899065174890325,0.15384615384615385,1.0,0.0,1.0,0.27845389904213436,0.04192851063882774,0.2666666666666667
A,HP-mean,0.06365214551314059,0.007392158280169852,0.06274662394942246,0.0035171944894872706,0.0014204929921637207,0.0032210051219411584,0.053508321812283,0.008622764158733982,0.05199222523872295,0.12021976131883252,0.016269708577366253,0.11764705882352941,1.0,0.0,1.0,0.21431151407931595,0.025538149532974584,0.21052631578947367
A,ITF,0.012449047145243293,0.0019870340951335403,0.01299406218449686,0.004560870487489843,0.0014795780740751974,0.004303285416916734,0.027478485911173696,0.0013264776758179853,0.027354426777002387,0.1302537482297544,0.024000960491781114,0.125,1.0,0.0,1.0,0.2298041720061844,0.036695969256501045,0.2222222222222222
A,LLT,0.03669229251312079,0.0005964911828384569,0.03668889411696401,0.011680466899086852,0.0020038422770350278,0.011098592964372066,0.03662965509131013,0.0014770308504816264,0.03734114525956484,0.16214202464202465,0.07257861117250637,0.14285714285714285,0.875,0.23145502494313783,1.0,0.26862969546793075,0.10122567191044182,0.2426470588235294
A,Theil-Sen,0.04584691331455265,0.0019228001885783534,0.04565771746280754,0.026894527311627333,0.002071457843527726,0.027056177838168882,0.029008200483925925,0.0015437664566669582,0.02905145869957727,0.12353569632981398,0.027840944039137814,0.11764705882352941,0.9375,0.1767766952966369,1.0,0.21775762936753648,0.04656860046831773,0.21052631578947367
B,GLASS-E,0.013730619545581364,0.0025161965992078258,0.014734547490527026,0.004384731603110521,0.0010312484241519948,0.0046102736302697424,0.023445520471368154,0.0021801786959244644,0.02319248460219736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,HP-mean,0.05950241093452529,0.004332278124340912,0.05883755741185512,0.0030014372359702594,0.0005752173155149111,0.0030120118317914163,0.05203421066321348,0.004647672235790131,0.052227423260596095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,ITF,0.01382987560078663,0.002569590744868961,0.014765086675715747,0.0042540172591568745,0.0007934205032611136,0.004243586419260065,0.023557881065668307,0.0021553921809532796,0.023211045958580787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,LLT,0.036578621497372336,0.0017872017828870913,0.03648350739876757,0.005546533560695862,0.0007959394049829862,0.005290294297944989,0.030542576353772298,0.001864330722951449,0.030080373591100044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Theil-Sen,0.030681620835356214,0.0009088914449966423,0.03049724651663362,0.003089379698073161,0.0009662888011086649,0.003152938050057898,0.016687749309736623,0.001804363368011551,0.016025314363415928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,GLASS-E,0.016001138494109838,0.002371615501811279,0.015041772547880985,0.006089649939297311,0.0007490977197851861,0.006275560563235942,0.031078819717405455,0.002604761573255897,0.031390302015113294,0.19349747474747475,0.027824881353387353,0.18181818181818182,1.0,0.0,1.0,0.3234765234765235,0.03806075812120888,0.3076923076923077
C,HP-mean,0.06973651723309995,0.005518982086880876,0.0704653881250634,0.00768572641784925,0.0008012706177595698,0.007860530974507066,0.05733686525980909,0.005407583476631789,0.0588033191732375,0.12104188166494667,0.010029463321348117,0.1213235294117647,1.0,0.0,1.0,0.2158201877242125,0.015986988821123854,0.21637426900584794
C,ITF,0.015918858451370713,0.002332181915431718,0.015005284819822707,0.006217263466828416,0.0006950857869677422,0.00628299046994662,0.03153419913933515,0.0024643798839153732,0.03170440004710628,0.14939851814851815,0.02124230647881204,0.14835164835164835,1.0,0.0,1.0,0.25944076348488115,0.032079475600690306,0.25833333333333336
C,LLT,0.044362965252541485,0.0007111305544329351,0.04424910534535591,0.018024074299151066,0.002193957349189151,0.018359252025644743,0.043633715504858686,0.0016680294062701038,0.043252297641655155,0.14481976356976356,0.018735460234350736,0.14285714285714285,1.0,0.0,1.0,0.252595525389643,0.028257835217750972,0.25
C,Theil-Sen,0.05074013655866382,0.002225557999158018,0.05058488391070862,0.035657484550563334,0.0004229976925538056,0.03550590240682534,0.02490785900836137,0.002957195493092076,0.023766049973328447,0.14720206264323912,0.04689033997845212,0.125,1.0,0.0,1.0,0.25421446243814666,0.06751088158821278,0.2222222222222222
